# Intra-site net delay by site type and BEL pins, generated by IntraSiteDelayTable
# Delays in picoseconds at the slow corner.
# site_type from_bel/pin to_bel/pin slow_max_ps slow_min_ps samples

intrasite_delay
DSP58 DSP_A_B_DATA/A1_DATA_2_ DSP_PREADD_DATA/A1_DATA_2_ 0 0 3
DSP58 DSP_A_B_DATA/A1_DATA_3_ DSP_PREADD_DATA/A1_DATA_3_ 0 0 1
DSP58 DSP_A_B_DATA/A1_DATA_8_ DSP_PREADD_DATA/A1_DATA_8_ 0 0 1
DSP58 DSP_A_B_DATA/A2_DATA_0_ DSP_PREADD_DATA/A2_DATA_0_ 0 0 1
DSP58 DSP_A_B_DATA/A2_DATA_10_ DSP_PREADD_DATA/A2_DATA_10_ 0 0 1
DSP58 DSP_A_B_DATA/A2_DATA_15_ DSP_PREADD_DATA/A2_DATA_15_ 0 0 3
DSP58 DSP_A_B_DATA/A2_DATA_16_ DSP_PREADD_DATA/A2_DATA_16_ 0 0 1
DSP58 DSP_A_B_DATA/A2_DATA_18_ DSP_PREADD_DATA/A2_DATA_18_ 0 0 1
DSP58 DSP_A_B_DATA/A2_DATA_1_ DSP_PREADD_DATA/A2_DATA_1_ 0 0 1
DSP58 DSP_A_B_DATA/A2_DATA_22_ DSP_PREADD_DATA/A2_DATA_22_ 0 0 3
DSP58 DSP_A_B_DATA/A2_DATA_23_ DSP_PREADD_DATA/A2_DATA_23_ 0 0 1
DSP58 DSP_A_B_DATA/A2_DATA_3_ DSP_PREADD_DATA/A2_DATA_3_ 0 0 1
DSP58 DSP_A_B_DATA/A2_DATA_4_ DSP_PREADD_DATA/A2_DATA_4_ 0 0 1
DSP58 DSP_A_B_DATA/A2_DATA_5_ DSP_PREADD_DATA/A2_DATA_5_ 0 0 1
DSP58 DSP_A_B_DATA/A2_DATA_6_ DSP_PREADD_DATA/A2_DATA_6_ 0 0 1
DSP58 DSP_A_B_DATA/A_ALU_10_ DSP_ALUMUX/A_ALU_10_ 0 0 3
DSP58 DSP_A_B_DATA/A_ALU_11_ DSP_ALUMUX/A_ALU_11_ 0 0 1
DSP58 DSP_A_B_DATA/A_ALU_12_ DSP_ALUMUX/A_ALU_12_ 0 0 1
DSP58 DSP_A_B_DATA/A_ALU_13_ DSP_ALUMUX/A_ALU_13_ 0 0 1
DSP58 DSP_A_B_DATA/A_ALU_15_ DSP_ALUMUX/A_ALU_15_ 0 0 1
DSP58 DSP_A_B_DATA/A_ALU_18_ DSP_ALUMUX/A_ALU_18_ 0 0 2
DSP58 DSP_A_B_DATA/A_ALU_19_ DSP_ALUMUX/A_ALU_19_ 0 0 1
DSP58 DSP_A_B_DATA/A_ALU_23_ DSP_ALUMUX/A_ALU_23_ 0 0 1
DSP58 DSP_A_B_DATA/A_ALU_24_ DSP_ALUMUX/A_ALU_24_ 0 0 2
DSP58 DSP_A_B_DATA/A_ALU_25_ DSP_ALUMUX/A_ALU_25_ 0 0 1
DSP58 DSP_A_B_DATA/A_ALU_26_ DSP_ALUMUX/A_ALU_26_ 0 0 1
DSP58 DSP_A_B_DATA/A_ALU_30_ DSP_ALUMUX/A_ALU_30_ 0 0 2
DSP58 DSP_A_B_DATA/A_ALU_31_ DSP_ALUMUX/A_ALU_31_ 0 0 1
DSP58 DSP_A_B_DATA/A_ALU_32_ DSP_ALUMUX/A_ALU_32_ 0 0 1
DSP58 DSP_A_B_DATA/A_ALU_4_ DSP_ALUMUX/A_ALU_4_ 0 0 1
DSP58 DSP_A_B_DATA/A_ALU_7_ DSP_ALUMUX/A_ALU_7_ 0 0 2
DSP58 DSP_A_B_DATA/A_ALU_8_ DSP_ALUMUX/A_ALU_8_ 0 0 1
DSP58 DSP_A_B_DATA/B1_DATA_12_ DSP_PREADD_DATA/B1_DATA_12_ 0 0 1
DSP58 DSP_A_B_DATA/B1_DATA_13_ DSP_PREADD_DATA/B1_DATA_13_ 0 0 2
DSP58 DSP_A_B_DATA/B1_DATA_14_ DSP_PREADD_DATA/B1_DATA_14_ 0 0 1
DSP58 DSP_A_B_DATA/B1_DATA_15_ DSP_PREADD_DATA/B1_DATA_15_ 0 0 1
DSP58 DSP_A_B_DATA/B1_DATA_19_ DSP_PREADD_DATA/B1_DATA_19_ 0 0 1
DSP58 DSP_A_B_DATA/B1_DATA_20_ DSP_PREADD_DATA/B1_DATA_20_ 0 0 1
DSP58 DSP_A_B_DATA/B1_DATA_21_ DSP_PREADD_DATA/B1_DATA_21_ 0 0 2
DSP58 DSP_A_B_DATA/B1_DATA_4_ DSP_PREADD_DATA/B1_DATA_4_ 0 0 1
DSP58 DSP_A_B_DATA/B1_DATA_5_ DSP_PREADD_DATA/B1_DATA_5_ 0 0 2
DSP58 DSP_A_B_DATA/B1_DATA_6_ DSP_PREADD_DATA/B1_DATA_6_ 0 0 1
DSP58 DSP_A_B_DATA/B2_DATA_10_ DSP_PREADD_DATA/B2_DATA_10_ 0 0 1
DSP58 DSP_A_B_DATA/B2_DATA_11_ DSP_PREADD_DATA/B2_DATA_11_ 0 0 2
DSP58 DSP_A_B_DATA/B2_DATA_12_ DSP_PREADD_DATA/B2_DATA_12_ 0 0 1
DSP58 DSP_A_B_DATA/B2_DATA_17_ DSP_PREADD_DATA/B2_DATA_17_ 0 0 2
DSP58 DSP_A_B_DATA/B2_DATA_19_ DSP_PREADD_DATA/B2_DATA_19_ 0 0 1
DSP58 DSP_A_B_DATA/B2_DATA_1_ DSP_PREADD_DATA/B2_DATA_1_ 0 0 2
DSP58 DSP_A_B_DATA/B2_DATA_21_ DSP_PREADD_DATA/B2_DATA_21_ 0 0 1
DSP58 DSP_A_B_DATA/B2_DATA_2_ DSP_PREADD_DATA/B2_DATA_2_ 0 0 1
DSP58 DSP_A_B_DATA/B2_DATA_3_ DSP_PREADD_DATA/B2_DATA_3_ 0 0 1
DSP58 DSP_A_B_DATA/B2_DATA_4_ DSP_PREADD_DATA/B2_DATA_4_ 0 0 1
DSP58 DSP_A_B_DATA/B_ALU_0_ DSP_ALUMUX/B_ALU_0_ 0 0 2
DSP58 DSP_A_B_DATA/B_ALU_10_ DSP_ALUMUX/B_ALU_10_ 0 0 2
DSP58 DSP_A_B_DATA/B_ALU_15_ DSP_ALUMUX/B_ALU_15_ 0 0 3
DSP58 DSP_A_B_DATA/B_ALU_17_ DSP_ALUMUX/B_ALU_17_ 0 0 1
DSP58 DSP_A_B_DATA/B_ALU_18_ DSP_ALUMUX/B_ALU_18_ 0 0 2
DSP58 DSP_A_B_DATA/B_ALU_1_ DSP_ALUMUX/B_ALU_1_ 0 0 1
DSP58 DSP_A_B_DATA/B_ALU_22_ DSP_ALUMUX/B_ALU_22_ 0 0 2
DSP58 DSP_A_B_DATA/B_ALU_8_ DSP_ALUMUX/B_ALU_8_ 0 0 2
DSP58 DSP_A_B_DATA/B_ALU_9_ DSP_ALUMUX/B_ALU_9_ 0 0 2
