# Horizontal wire delay corrections by (template, tile column),
# relative to the RC model. Rows are uniform; x is not.
# key corr_slow_max_ps corr_slow_min_ps samples

hwire_corr
NODE_HDOUBLE:OUT_EE#_W_BEG#@354 1.0 8.1 2
NODE_HDOUBLE:OUT_EE#_W_BEG#@359 16.8 8.5 38
NODE_HDOUBLE:OUT_EE#_W_BEG#@364 9.5 5.1 30
NODE_HDOUBLE:OUT_EE#_W_BEG#@368 5.0 3.6 25
NODE_HDOUBLE:OUT_EE#_W_BEG#@373 -13.7 -6.5 16
NODE_HDOUBLE:OUT_EE#_W_BEG#@378 -3.5 -4.4 37
NODE_HDOUBLE:OUT_EE#_W_BEG#@382 20.8 10.4 19
NODE_HDOUBLE:OUT_EE#_W_BEG#@387 17.9 9.4 5
NODE_HDOUBLE:OUT_EE#_W_BEG#@393 27.7 19.4 50
NODE_HDOUBLE:OUT_EE#_W_BEG#@398 3.4 1.0 40
NODE_HDOUBLE:OUT_EE#_W_BEG#@402 22.5 10.9 9
NODE_HDOUBLE:OUT_EE#_W_BEG#@407 -16.2 -9.5 11
NODE_HDOUBLE:OUT_EE#_W_BEG#@412 -6.4 -4.1 49
NODE_HDOUBLE:OUT_EE#_W_BEG#@416 4.2 1.7 49
NODE_HDOUBLE:OUT_EE#_W_BEG#@421 51.6 25.4 7
NODE_HDOUBLE:OUT_EE#_W_BEG#@426 14.4 8.9 36
NODE_HDOUBLE:OUT_EE#_W_BEG#@431 7.0 4.4 63
NODE_HDOUBLE:OUT_EE#_W_BEG#@435 7.6 3.9 39
NODE_HDOUBLE:OUT_EE#_W_BEG#@440 -18.7 -14.6 8
NODE_HDOUBLE:OUT_EE#_W_BEG#@445 7.8 3.7 27
NODE_HDOUBLE:OUT_EE#_W_BEG#@449 3.5 2.0 33
NODE_HDOUBLE:OUT_EE#_W_BEG#@45 -19.4 -22.6 4
NODE_HDOUBLE:OUT_EE#_W_BEG#@454 33.0 25.8 3
NODE_HDOUBLE:OUT_EE#_W_BEG#@460 35.4 19.6 43
NODE_HDOUBLE:OUT_EE#_W_BEG#@465 9.2 4.0 37
NODE_HDOUBLE:OUT_EE#_W_BEG#@469 7.7 4.9 30
NODE_HDOUBLE:OUT_EE#_W_BEG#@474 -19.1 -10.2 11
NODE_HDOUBLE:OUT_EE#_W_BEG#@479 -0.1 -1.8 37
NODE_HDOUBLE:OUT_EE#_W_BEG#@483 15.7 7.6 23
NODE_HDOUBLE:OUT_EE#_W_BEG#@488 9.8 4.6 9
NODE_HDOUBLE:OUT_EE#_W_BEG#@49 -17.5 -13.7 9
NODE_HDOUBLE:OUT_EE#_W_BEG#@493 6.9 5.4 63
NODE_HDOUBLE:OUT_EE#_W_BEG#@498 6.8 2.4 45
NODE_HDOUBLE:OUT_EE#_W_BEG#@502 18.3 8.3 17
NODE_HDOUBLE:OUT_EE#_W_BEG#@507 -10.8 -7.2 14
NODE_HDOUBLE:OUT_EE#_W_BEG#@512 -9.2 -5.6 44
NODE_HDOUBLE:OUT_EE#_W_BEG#@516 8.9 3.8 45
NODE_HDOUBLE:OUT_EE#_W_BEG#@521 69.2 37.2 7
NODE_HDOUBLE:OUT_EE#_W_BEG#@527 20.5 12.5 30
NODE_HDOUBLE:OUT_EE#_W_BEG#@53 -20.9 -15.4 10
NODE_HDOUBLE:OUT_EE#_W_BEG#@532 3.2 2.7 60
NODE_HDOUBLE:OUT_EE#_W_BEG#@536 7.2 3.7 29
NODE_HDOUBLE:OUT_EE#_W_BEG#@541 -20.9 -15.7 4
NODE_HDOUBLE:OUT_EE#_W_BEG#@546 4.9 4.0 17
NODE_HDOUBLE:OUT_EE#_W_BEG#@550 7.6 3.5 33
NODE_HDOUBLE:OUT_EE#_W_BEG#@555 17.9 17.8 2
NODE_HDOUBLE:OUT_EE#_W_BEG#@560 24.6 14.6 27
NODE_HDOUBLE:OUT_EE#_W_BEG#@565 6.6 3.4 30
