# Per-node clock delay, fitted by ClkNodeFit
# part: xcv80-lsva4737-2MHP-e-S
# term slow_max_ps slow_min_ps

clock_deskew vdistr extent

clock_node_delay  # trunk node instance + leaf type
CLK_VNOC_SSIT_MT_BBO_TILE_X25Y479/CLKE2_PD_OPT_DELAY_SSIT_#_I 163.52 154.79
CLK_VNOC_SSIT_MT_BBO_TILE_X25Y767/CLKE2_PD_OPT_DELAY_SSIT_#_I 82.73 80.57
CLK_VNOC_SSIT_MT_BBO_TILE_X53Y479/CLKE2_PD_OPT_DELAY_SSIT_#_I 210.00 197.87
CLK_VNOC_SSIT_MT_BBO_TILE_X53Y767/CLKE2_PD_OPT_DELAY_SSIT_#_I 225.08 210.92
CLK_VNOC_SSIT_MT_BBO_TILE_X81Y479/CLKE2_PD_OPT_DELAY_SSIT_#_I 279.13 265.16
CLK_VNOC_SSIT_MT_BBO_TILE_X81Y767/CLKE2_PD_OPT_DELAY_SSIT_#_I 323.45 306.70
CLK_VNOC_SSIT_TOP_AAO_TILE_X109Y575/CLKE2_PD_OPT_DELAY_SSIT_#_I 128.08 121.35
CLK_VNOC_SSIT_TOP_AAO_TILE_X25Y575/CLKE2_PD_OPT_DELAY_SSIT_#_I 91.17 88.23
CLK_VNOC_SSIT_TOP_AAO_TILE_X53Y575/CLKE2_PD_OPT_DELAY_SSIT_#_I 204.81 193.93
CLK_VNOC_SSIT_TOP_AAO_TILE_X81Y575/CLKE2_PD_OPT_DELAY_SSIT_#_I 301.92 285.55
CLK_VNOC_SSIT_TOP_CCO_TILE_X109Y288/CLKE2_PD_OPT_DELAY_SSIT_#_I 133.59 124.99
CLK_VNOC_SSIT_TOP_CCO_TILE_X25Y288/CLKE2_PD_OPT_DELAY_SSIT_#_I 100.60 96.64
CLK_VNOC_SSIT_TOP_CCO_TILE_X53Y288/CLKE2_PD_OPT_DELAY_SSIT_#_I 155.00 151.23
CLK_VNOC_SSIT_TOP_CCO_TILE_X81Y288/CLKE2_PD_OPT_DELAY_SSIT_#_I 257.56 247.39
IRI_TAPS 67.37 61.45
LEAF_TAPS 87.99 74.07
NODE_CLE_BNODE 43.09 23.77
NODE_CLE_CNODE 199.67 178.55
NODE_CLE_CTRL 197.34 178.14
NODE_GLOBAL_HDISTR_LOCAL 332.07 293.93
NODE_GLOBAL_LEAF 332.07 293.93
NODE_INODE 4.66 0.81
NODE_INTF_CNODE -31.30 -31.17
NODE_INTF_CTRL -31.30 -31.17
NODE_IRI -62.60 -62.35
NODE_PINBOUNCE 4.66 0.81
NODE_PINFEED 466.80 409.73
RCLK_BRAM_CLKBUF_CORE_X118Y143/IF_HCLK_R_CLK_HDISTR# 151.35 142.83
RCLK_BRAM_CLKBUF_CORE_X118Y239/IF_HCLK_R_CLK_HDISTR# 155.13 147.00
RCLK_BRAM_CLKBUF_CORE_X118Y288/IF_HCLK_R_CLK_HDISTR# 125.10 119.18
RCLK_BRAM_CLKBUF_CORE_X118Y383/IF_HCLK_R_CLK_HDISTR# 150.44 143.93
RCLK_BRAM_CLKBUF_CORE_X118Y47/IF_HCLK_R_CLK_HDISTR# 140.15 132.46
RCLK_BRAM_CLKBUF_CORE_X118Y479/IF_HCLK_R_CLK_HDISTR# 171.28 162.69
